tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_string,is_retweet,timestamp,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media_url,media_expanded_url,lang,id,virality,affectiveIndex,group,topic
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,OmitaPekes,cmiguate,2019-05-23 15:32:38,2019-05-23 15:07:18,1.1315773494707446e+18,1131583724062220288,,,302134904,579651036.0,,True,1558636358,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131583724062220288,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,DianaSalHer,cmiguate,2019-05-23 15:30:53,2019-05-23 15:07:18,1.1315773494707446e+18,1131583282557198336,,,932193158,579651036.0,,True,1558636253,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131583282557198336,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,OscarPrezMonro1,cmiguate,2019-05-23 15:29:39,2019-05-23 15:07:18,1.1315773494707446e+18,1131582975202738176,,,754334360489209856,579651036.0,,True,1558636179,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131582975202738176,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,gustafern21,cmiguate,2019-05-23 15:29:32,2019-05-23 15:07:18,1.1315773494707446e+18,1131582945469304833,,,296935407,579651036.0,,True,1558636172,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131582945469304833,18.46435686444348,0,group,0
Altamente recomendable leer esta columna de @Alex_balsells para ver más allá de los fallos de la @CC_Guatemala sobre elecciones 2019 y tener insumos y perspectivas hacia el futuro de #Guatemala | #DecisiónLibre2019 #YoCuidoMiVotoGT https://t.co/NR7iblL62M,9,13,1277835,abarriosalva_PL,,2019-05-23 15:29:28,,,1131582928297893889,,,327673401,,,False,1558636168,quote,Twitter for Android,,,,1.1312244490328924e+18,prensa_libre,38687143.0,2019-05-22 15:45:00,,,,,,,,,es,1131582928297893889,0.0007144897424158831,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,tayundoagriexpo,cmiguate,2019-05-23 15:28:07,2019-05-23 15:07:18,1.1315773494707446e+18,1131582587271569409,,,4717316424,579651036.0,,True,1558636087,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131582587271569409,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,masomenos_,cmiguate,2019-05-23 15:28:04,2019-05-23 15:07:18,1.1315773494707446e+18,1131582573891805184,,,331350266,579651036.0,,True,1558636084,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131582573891805184,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,DarmandoCaPe,cmiguate,2019-05-23 15:27:15,2019-05-23 15:07:18,1.1315773494707446e+18,1131582370635763713,,,862893473166438404,579651036.0,,True,1558636035,retweet,Twitter for iPad,,,,,,,,,,,,,,,,es,1131582370635763713,18.46435686444348,0,group,0
"RT @cmiguate: ¿Vieron al militar retirado que hizo arengas para obstaculizar con violencia las elecciones de junio? Se trata del capitán (r) José Paredes Contreras, miembro activo de la Asociación de Veteranos Militares de Guatemala (Avemilgua) https://t.co/IyViKakjO3",213,171,11545,Domingo94096837,cmiguate,2019-05-23 15:25:51,2019-05-23 15:07:18,1.1315773494707446e+18,1131582016028368898,,,746040422351310848,579651036.0,,True,1558635951,retweet,Twitter for Android,,,,,,,,,,,,,,,,es,1131582016028368898,18.46435686444348,0,group,0
"RT @juanjose531958: Guatemala tendrá que esperar 4 años más para intentar cambiar y mejorar su rumbo y futuro.  A 24 días de las elecciones, NO se por quien votar, pero no dejare de votar.  Mi voto será en CONTRA del PEOR y NO a favor del MEJOR.  Creo no ser el único en esta lamentable situación.",165,850,4485,rodrigolacayo,juanjose531958,2019-05-23 15:25:49,2019-05-23 15:04:50,1.1315767278876549e+18,1131582011238486017,,,49056848,414348575.0,,True,1558635949,retweet,Twitter for iPhone,,,,,,,,,,,,,,,,es,1131582011238486017,36.978818283166106,0,group,0
